sequence_id,Fixation_Count,Saccade_Count,Fixation_Ratio,MeanVelocity,MaxVelocity_Global,Velocity_STD,Total_Fixation_Duration,Mean_Fixation_Duration,abnormal_type,label_encoded
NOR_00126,150,0,1,0.008465783,0.1759461400890596,0.022367686071373363,150,1,normal,0
NOR_00127,150,0,1,0.007850909,0.236956206,0.028591411,150,1,normal,0
NOR_00128,150,0,1,0.009528088,0.2138151084223345,0.031552171,150,1,normal,0
NOR_00129,150,0,1,0.011035960319965926,0.2391922429904683,0.034197248,150,1,normal,0
NOR_00130,150,0,1,0.006587326,0.2991891483032306,0.024915792501272835,150,1,normal,0
NOR_00131,150,0,1,0.008108737,0.1859444295324409,0.020613936626700063,150,1,normal,0
NOR_00132,150,0,1,0.011095678232592433,0.400451176,0.039597699,150,1,normal,0
NOR_00133,150,0,1,0.009708705,0.3854123378777492,0.034366309,150,1,normal,0
NOR_00134,148,2,0.9866666666666667,0.014836122,0.5438262979134684,0.062136299804825976,148,1,normal,0
NOR_00135,150,0,1,0.008827538,0.542366149,0.045015353,150,1,normal,0
NOR_00136,150,0,1,0.005905768,0.090227642,0.011299887,150,1,normal,0
NOR_00137,150,0,1,0.035789978377465954,4.710954529073817,0.38434638529360005,150,1,normal,0
NOR_00138,148,2,0.9866666666666667,0.034475013560643634,1.640686154871684,0.20968248517437588,148,1,normal,0
NOR_00139,149,1,0.9933333333333333,0.008566204,0.5063755131003262,0.042272999,149,1,normal,0
NOR_00140,149,1,0.9933333333333333,0.040509637,5.141055753520404,0.4194314827557446,149,1,normal,0
NOR_00141,149,1,0.9933333333333333,0.011104405032589719,0.3703620477267055,0.041907162071633586,149,1,normal,0
NOR_00142,150,0,1,0.006566391,0.087033018,0.012149317467009504,150,1,normal,0
NOR_00143,149,1,0.9933333333333333,0.015427008427193006,1.145795859324237,0.10054985582356085,149,1,normal,0
NOR_00144,149,1,0.9933333333333333,0.026990992846844038,2.080650645232246,0.174712415,149,1,normal,0
NOR_00145,150,0,1,0.010620737949089649,0.613571586,0.050870079,150,1,normal,0
NOR_00146,150,0,1,0.010917757604890839,0.4968213041967569,0.046118786017357534,150,1,normal,0
NOR_00147,149,1,0.9933333333333333,0.017447261875123802,0.6935907068768217,0.068991144,149,1,normal,0
NOR_00148,148,2,0.9866666666666667,0.025441248129088663,0.6969987926872694,0.084666812,148,1,normal,0
NOR_00149,148,2,0.9866666666666667,0.019900831,0.4189326787613399,0.054154512,148,1,normal,0
NOR_00150,149,1,0.9933333333333333,0.011810348556423307,0.3013614643730718,0.032660978,149,1,normal,0
NOR_00151,148,2,0.9866666666666667,0.021680351449529664,0.4783791870824141,0.070465428,148,1,normal,0
NOR_00152,148,2,0.9866666666666667,0.017253058099784845,0.4548238878335904,0.053691646513659215,148,1,normal,0
NOR_00153,150,0,1,0.010290769243428276,0.082901216,0.014613785954515525,150,1,normal,0
NOR_00154,150,0,1,0.019082029631952643,1.052419059971745,0.088208959,150,1,normal,0
NOR_00155,149,1,0.9933333333333333,0.015454017,0.3044278623221495,0.034834083,149,1,normal,0
NOR_00156,150,0,1,0.011274330693401136,0.2738385503120296,0.030378858006638153,150,1,normal,0
NOR_00157,149,1,0.9933333333333333,0.015453723307040841,0.4840431786842791,0.045751907,149,1,normal,0
NOR_00158,150,0,1,0.013519495,0.2406339044854187,0.027589233642604145,150,1,normal,0
NOR_00159,150,0,1,0.015667554736556958,0.2294460283421923,0.027254311617797157,150,1,normal,0
NOR_00160,150,0,1,0.012731591651038964,0.1619078042455569,0.021607481419656096,150,1,normal,0
NOR_00161,150,0,1,0.014991147534941105,0.1699686356813183,0.026243869724124232,150,1,normal,0
NOR_00162,150,0,1,0.023698680472905343,1.178010984232409,0.1017608120227577,150,1,normal,0
NOR_00163,150,0,1,0.051523894,5.290142443045296,0.43254005524761646,150,1,normal,0
NOR_00164,148,2,0.9866666666666667,0.12457590998945355,10.58755686861407,0.9640344022651526,148,1,normal,0
NOR_00165,148,2,0.9866666666666667,0.1348433279606029,10.59843920401113,0.9291170265086912,148,1,normal,0
NOR_00166,150,0,1,0.020216856,0.2423719984568773,0.037559890745029814,150,1,normal,0
NOR_00167,150,0,1,0.024185199691267367,1.035768758469223,0.091048138,150,1,normal,0
NOR_00168,150,0,1,0.022739953321009625,0.7661204270124058,0.078799238,150,1,normal,0
NOR_00169,150,0,1,0.016338202623925456,0.489141888,0.043507855245192135,150,1,normal,0
NOR_00170,149,1,0.9933333333333333,0.034813334,3.671530339095164,0.2995803969873153,149,1,normal,0
NOR_00171,149,1,0.9933333333333333,0.017157557891041463,0.3603448433578476,0.043613381303550636,149,1,normal,0
NOR_00172,150,0,1,0.013654331139613203,0.1648418447985504,0.021982138258294145,150,1,normal,0
NOR_00173,150,0,1,0.016428689010004348,0.530653895,0.052285998,150,1,normal,0
NOR_00174,149,1,0.9933333333333333,0.026496706,0.6404023918485844,0.076830921,149,1,normal,0
NOR_00175,149,1,0.9933333333333333,0.022574436127004226,0.9210666013547697,0.078780823,149,1,normal,0
NOR_00176,149,1,0.9933333333333333,0.068649942,6.104491346648159,0.5235059535915527,149,1,normal,0
NOR_00177,149,1,0.9933333333333333,0.018636370293327806,0.3065102722681117,0.03599584,149,1,normal,0
NOR_00178,148,2,0.9866666666666667,0.035331847,1.017132923505129,0.12928356349504166,148,1,normal,0
NOR_00179,150,0,1,0.015734166107069385,0.2621497200437913,0.032114839,150,1,normal,0
NOR_00180,149,1,0.9933333333333333,0.021007880542946864,0.610501839,0.066294117,149,1,normal,0
